Informe Completo;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creación : 28/1/2022;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
;;fecha;monto;fecha;monto;fecha;monto;fecha;monto;Empresa;Industria;Empresa;Industria;;
Simon Property Group Inc;SPG;2021- 30/09;1296.55;2021- 30/06;1254.15;2021- 31/03;1239.95;2020- 31/12;1131.43;8.12;3.89;9.61;13.15;-;https://es.investing.com/equities/simon-prop-grp
Thomson Reuters Corp;TRI;2021- 30/09;1526;2021- 30/06;1532;2021- 31/03;1580;2020- 31/12;1616;-0.61;7.43;8.09;7.46;-;https://es.investing.com/equities/thomson-reuters-corp?cid=29626
KKR & Co Inc;KKR_pc;2021- 30/09;4648.09;2021- 30/06;3258.47;2021- 31/03;4598.4;2020- 31/12;2118.83;13.32;22.04;3.88;9.29;-;https://es.investing.com/equities/kkr-co-prf
Oriental Land Co Ltd ADR;OLCLY;2021- 30/09;47747;2021- 30/06;49821;2021- 31/03;33468;2020- 31/12;77964;-3.98;-2.35;31.98;17.09;Vender;https://es.investing.com/equities/oriental-land-adr
Freeport-McMoran Copper & Gold Inc;FCX;2021- 30/09;6083;2021- 30/06;5748;2021- 31/03;4850;2020- 31/12;4495;10.15;undefined;3.84;undefined;-;https://es.investing.com/equities/freeport-mcm
Vinci SA ADR;VCISY;2021- 30/06;22879;2020- 31/12;25106;2020- 30/06;18824;2019- 31/12;26701;3.3;3.79;1.2;0.88;-;https://es.investing.com/equities/vinci-sa
Emerson Electric Company;EMR;2021- 30/09;4947;2021- 30/06;4697;2021- 31/03;4431;2020- 31/12;4161;13.12;6.22;2.96;9.78;Comprar;https://es.investing.com/equities/emerson-elec
Johnson Controls International PLC;JCI;2021- 30/09;6392;2021- 30/06;6341;2021- 31/03;5594;2020- 31/12;5341;5.54;13.39;2.12;3.48;-;https://es.investing.com/equities/johnson-controls
Hoya Corp;HOCPY;2021- 30/09;162601;2021- 30/06;158000;2021- 31/03;151394;2020- 31/12;146887;19.94;13.8;8.32;7.41;-;https://es.investing.com/equities/hoya-corp
Roblox Corp;RBLX;2021- 30/09;509.34;2021- 30/06;454.1;2021- 31/03;386.98;2020- 31/12;310.01;-46.53;-0.63;19.89;18.4;-;https://es.investing.com/equities/roblox-corp
Nintendo Co ADR;NTDOY;2021- 30/09;301625;2021- 30/06;322647;2021- 31/03;354447;2020- 31/12;634939;24.74;17.37;4.51;4.91;-;https://es.investing.com/equities/nintendo-co
Zoom Video Communications Inc;ZM;2021- 31/10;1050.76;2021- 31/07;1977.73;2021- 30/04;956.24;2021- 31/01;882.49;33.09;13.95;10.42;29.76;-;https://es.investing.com/equities/zoom-video-communications
Adidas AG ADR;ADDYY;2021- 30/06;5077;2021- 31/03;5268;2020- 31/12;5547;2020- 30/09;5964;11.85;11.43;2.15;2.34;-;https://es.investing.com/equities/adidas-ag
Enbridge 6.375 Fixed to Floating Rate Subordinated Notes Series 2018 B Exp 2078;ENBA;2015- 31/03;7929;2014- 31/12;8797;2014- 30/09;8297;2014- 30/06;10026;4.25;4.92;2.38;9.18;-;https://es.investing.com/equities/enbridge-fixfltratesubnotessrs18b78
Bayerische Motoren Werke AG ADR;BMWYY;2021- 30/06;28582;2021- 31/03;26778;2020- 31/12;29482;2020- 30/09;26283;8.12;6.28;0.54;0.55;-;https://es.investing.com/equities/bayerische-motoren-werke-ag-pk
Synopsys Inc;SNPS;2021- 31/10;1152.42;2021- 31/07;1057.13;2021- 30/04;1024.32;2021- 31/01;970.32;12.38;13.95;10.41;29.76;-;https://es.investing.com/equities/synopsys-inc
Vertex Pharmaceuticals Inc;VRTX;2021- 31/12;2072.6;2021- 30/09;1984.16;2021- 30/06;1793.37;2021- 31/03;1724.31;21.85;11.19;7.66;406.43;Comprar;https://es.investing.com/equities/vertex-pharm
Hitachi Ltd ADR;HTHIY;2021- 30/09;2465228;2021- 30/06;2367437;2021- 31/03;2750196;2020- 31/12;2218943;10.96;7.68;0.61;2.53;-;https://es.investing.com/equities/hitachi-ltd
IHS Markit Ltd;INFO;2021- 30/11;1176.3;2021- 31/08;1180.5;2021- 31/05;1181.4;2021- 28/02;1119.9;8.51;7.43;9.54;7.46;-;https://es.investing.com/equities/markit-ltd
CITIC Securities Co Ltd ADR;CIIHY;2021- 30/06;47768.63;2020- 31/12;37159.23;2020- 30/06;34709.66;2019- 31/12;28686.92;5.72;9.18;3.98;16.61;-;https://es.investing.com/equities/citic-securities-adr
Coinbase Global Inc;COIN;2021- 30/09;1311.91;2021- 30/06;4029.07;2021- 31/03;1801.11;2020- 31/12;585.11;22.04;undefined;6.18;9.29;-;https://es.investing.com/equities/coinbase-global
Exelon Corporation;EXC;2021- 30/09;8910;2021- 30/06;7915;2021- 31/03;9890;2020- 31/12;8114;1.63;2.65;1.58;4.34;-;https://es.investing.com/equities/exelon-corp
Orsted A/S ADR;DNNGY;2021- 30/09;14510;2021- 30/06;13553;2021- 31/03;18944;2020- 31/12;13195;5.11;5.11;4.9;5.36;-;https://es.investing.com/equities/dong-energy-adr
Fortinet Inc;FTNT;2021- 30/09;867.2;2021- 30/06;801.1;2021- 31/03;710.3;2020- 31/12;748;19.57;13.48;14.1;30.35;-;https://es.investing.com/equities/fortinet
TE Connectivity Ltd;TEL;2021- 24/12;3818;2021- 24/09;3818;2021- 25/06;3845;2021- 26/03;3738;14.79;9.78;2.94;7.8;-;https://es.investing.com/equities/te-connectivity
Dollar General Corporation;DG;2021- 29/10;8517.84;2021- 30/07;8650.2;2021- 30/04;8400.96;2021- 29/01;8414.52;12.09;15.91;1.4;1.16;-;https://es.investing.com/equities/dollar-general-corp
Chugai Pharmaceutical Co Ltd ADR;CHGCY;2021- 30/09;287264;2021- 30/06;221411;2021- 31/03;168817;2020- 31/12;210426;24.9;10.17;6.73;4.27;Vender;https://es.investing.com/equities/chugai-pharma-adr
Murata Manufacturing Inc;MRAAY;2021- 30/09;468517;2021- 30/06;439557;2021- 31/03;409540;2020- 31/12;468648;14.13;11.11;3.07;12.31;-;https://es.investing.com/equities/murata-manufacturing-inc
DSV Panalpina A/S ADR;DSDVY;2021- 30/09;49557;2021- 30/06;37831;2021- 31/03;33616;2020- 31/12;31716;10.44;10.44;2.11;1.99;-;https://es.investing.com/equities/dsv-a-s
Bayer AG PK;BAYRY;2021- 30/09;9781;2021- 30/06;10854;2021- 31/03;12328;2020- 31/12;9995;0.28;14.81;1.19;7.06;-;https://es.investing.com/equities/bayer-ag-pk
Palo Alto Networks Inc;PANW;2021- 31/10;1247.4;2021- 31/07;1219.3;2021- 30/04;1073.9;2021- 31/01;1016.9;-10.89;13.95;10.5;29.76;-;https://es.investing.com/equities/palo-alto-netwrk
MetLife Inc;MET;2021- 30/09;16905;2021- 30/06;18524;2021- 31/03;15562;2020- 31/12;19418;8.96;undefined;0.78;1.79;-;https://es.investing.com/equities/metlife-inc
Metlife Inc Pref;MET_pa;2021- 30/09;16905;2021- 30/06;18524;2021- 31/03;15562;2020- 31/12;19418;8.96;undefined;0.78;1.79;-;https://es.investing.com/equities/metlife-inc-pref
IDEXX Laboratories Inc;IDXX;2021- 30/09;810.42;2021- 30/06;826.14;2021- 31/03;777.71;2020- 31/12;720.94;46.28;10.18;12.74;124.85;-;https://es.investing.com/equities/idexx-laboratorie
Roper Technologies Inc;ROP;2021- 30/09;1462.8;2021- 30/06;2802.7;2021- 31/03;1528.6;2020- 31/12;1505.3;4.92;7.68;7.74;2.53;Vender;https://es.investing.com/equities/roper-industries
DexCom Inc;DXCM;2021- 30/09;650.2;2021- 30/06;595.1;2021- 31/03;505;2020- 31/12;568.9;14.37;9.96;16.03;152.92;-;https://es.investing.com/equities/dexcom
Datadog Inc;DDOG;2021- 30/09;270.49;2021- 30/06;233.55;2021- 31/03;198.55;2020- 31/12;177.53;-2.66;13.95;45.43;29.76;Vender;https://es.investing.com/equities/datadog-inc
Iqvia Holdings Inc;IQV;2021- 30/09;3391;2021- 30/06;3438;2021- 31/03;3409;2020- 31/12;3298;4.03;11.2;3.27;9.33;-;https://es.investing.com/equities/quintis-trl-hlgs
Keurig Dr Pepper Inc;KDP;2021- 30/09;3250;2021- 30/06;3140;2021- 31/03;2902;2020- 31/12;3121;4.07;10.52;4.3;4.76;-;https://es.investing.com/equities/dr-pepper-snapple
Lululemon Athletica Inc;LULU;2021- 31/10;1450.42;2021- 01/08;1450.62;2021- 02/05;1226.46;2021- 31/01;1729.55;27.42;16.53;6.49;5.64;-;https://es.investing.com/equities/lululemon-athletica
EOG Resources Inc;EOG;2021- 30/09;4764;2021- 30/06;4088;2021- 31/03;3700;2020- 31/12;2971.1;9.18;5.2;4.14;10.12;Comprar;https://es.investing.com/equities/eog-resources
National Grid PLC ADR;NGG;2021- 30/09;6941;2021- 31/03;8244;2020- 30/09;6064;2020- 31/03;8251;2.27;2.84;2.63;2.62;-;https://es.investing.com/equities/national-grid-transco-plc
London Stock Exchange Ltd ADR;LNSTY;2021- 30/06;3113;2020- 31/12;1209;2020- 30/06;1028;2019- 31/12;1174;2.32;18.74;8.97;14.59;-;https://es.investing.com/equities/london-stock-exchange-adr
Amphenol Corporation;APH;2021- 31/12;3026.8;2021- 30/09;2818.5;2021- 30/06;2653.9;2021- 31/03;2377.1;14.29;9.86;4.13;8.27;Comprar;https://es.investing.com/equities/amphenol-corp
Digital Realty Trust Inc;DLR;2021- 30/09;1133.14;2021- 30/06;1093.19;2021- 31/03;1090.39;2020- 31/12;1062.61;2.28;3.89;9.41;13.15;-;https://es.investing.com/equities/digital-realty-trust-inc
Digital Realty Trust Inc Pref;DLR_pj;2021- 30/09;1133.14;2021- 30/06;1093.19;2021- 31/03;1090.39;2020- 31/12;1062.61;2.28;3.89;9.41;13.15;-;https://es.investing.com/equities/digital-realty
Cadence Design Systems Inc;CDNS;2021- 02/10;750.89;2021- 03/07;728.28;2021- 03/04;736.03;2021- 02/01;759.91;21.9;13.95;12.95;29.76;-;https://es.investing.com/equities/cadence-design-system-inc
Challenger Ltd ADR;CFIGY;2021- 30/06;1496.2;2020- 31/12;1289.5;2020- 30/06;1132.8;2019- 31/12;1222.2;2.16;-0.07;1.36;2.03;-;https://es.investing.com/equities/challenger-adr
DoorDash Inc;DASH;2021- 30/09;1275;2021- 30/06;1236;2021- 31/03;1077;2020- 31/12;970;-17.71;10.77;7.23;6.11;-;https://es.investing.com/equities/doordash-inc
Xilinx Inc;XLNX;2021- 02/10;935.77;2021- 03/07;878.61;2021- 03/04;850.99;2021- 02/01;803.4;18.04;22.85;11.69;13.67;-;https://es.investing.com/equities/xilinx-inc
Marriott International Inc;MAR;2021- 30/09;3946;2021- 30/06;3149;2021- 31/03;2316;2020- 31/12;2172;2.48;-4.34;4.32;9.8;Comprar;https://es.investing.com/equities/marriott-intl
MSCI Inc;MSCI;2021- 31/12;549.84;2021- 30/09;517.1;2021- 30/06;498.18;2021- 31/03;478.42;21.42;undefined;19.84;9.26;Vender;https://es.investing.com/equities/msci-inc
Baidu Inc;BIDU;2021- 30/09;31921;2021- 30/06;31350;2021- 31/03;28134;2020- 31/12;30263;4.05;24.8;2.62;8.61;-;https://es.investing.com/equities/baidu.com
Eni SpA ADR;E;2021- 30/09;19021;2021- 30/06;30788;2021- 31/03;14494;2020- 31/12;21957;1.73;4.92;0.81;9.18;-;https://es.investing.com/equities/eni-spa
Safran SA;SAFRY;2021- 30/06;6769;2020- 31/12;7729;2020- 30/06;8902;2019- 31/12;12783;6.65;6.96;3.18;2.03;Vender;https://es.investing.com/equities/safran-sa
Monster Beverage Corp;MNST;2021- 30/09;1410.56;2021- 30/06;1461.93;2021- 31/03;1243.82;2020- 31/12;1196.28;26.71;10.52;8.28;4.76;Vender;https://es.investing.com/equities/monster-beverage
Givaudan SA ADR;GVDNY;2021- 30/06;3373;2020- 31/12;3101;2020- 30/06;3221;2019- 31/12;3109;9.31;13.83;5.83;7.33;-;https://es.investing.com/equities/givaudan-sa
Centene Corp;CNC;2021- 30/09;32406;2021- 30/06;31025;2021- 31/03;29983;2020- 31/12;28288;4.07;undefined;0.37;1.67;-;https://es.investing.com/equities/centene
Honda Motor Co Ltd ADR;HMC;2021- 30/09;3404358;2021- 30/06;3583870;2021- 31/03;3623806;2020- 31/12;3771569;6;5.71;0.42;3111.23;-;https://es.investing.com/equities/honda
VMware Inc;VMW;2021- 29/10;3188;2021- 30/07;3138;2021- 30/04;2994;2021- 29/01;3294;8.88;13.95;4.16;29.76;-;https://es.investing.com/equities/vm-ware-inc
Trane Technologies plc;TT;2021- 30/09;3719.8;2021- 30/06;3829.7;2021- 31/03;3017.6;2020- 31/12;3179.1;9.98;13.39;2.92;3.48;-;https://es.investing.com/equities/trane-technologies-plc
Activision Blizzard Inc;ATVI;2021- 30/09;2070;2021- 30/06;2296;2021- 31/03;2275;2020- 31/12;2412;12.78;-0.63;6.79;18.4;-;https://es.investing.com/equities/activision-inc
Nio Inc Class A ADR;NIO;2021- 30/09;9805.3;2021- 30/06;8448.05;2021- 31/03;7982.33;2020- 31/12;6641.09;-11.55;5.71;6.46;3111.23;-;https://es.investing.com/equities/nio-inc
Kimberly-Clark Corporation;KMB;2021- 31/12;4965;2021- 30/09;5010;2021- 30/06;4722;2021- 31/03;4743;16.09;16.93;2.38;4.31;-;https://es.investing.com/equities/kimberly-clark
Wesfarmers Ltd ADR;WFAFY;2021- 30/06;16167;2020- 31/12;17774;2020- 30/06;15597;2019- 31/12;15249;13.06;13.23;1.69;1.91;-;https://es.investing.com/equities/wesfarmers-ltd
Anglo American PLC ADR;NGLOY;2021- 30/06;21779;2020- 31/12;18428;2020- 30/06;10187;2019- 31/12;15098;21.07;10.15;1.53;3.84;-;https://es.investing.com/equities/anglo-american-plc-pk
Daiichi Sankyo Co Ltd ADR;DSNKY;2021- 30/09;265895;2021- 30/06;264069;2021- 31/03;223725;2020- 31/12;258622;4.87;10.17;4.75;4.3;-;https://es.investing.com/equities/daiichi-sankyo-co-ltd
China Shenhua Energy Co Ltd;CSUAY;2021- 30/09;88970;2021- 30/06;76371;2021- 31/03;67608;2020- 31/12;67160;12.77;8.99;1.48;0.85;Vender;https://es.investing.com/equities/china-shenhua-energy-co-ltd
Chipotle Mexican Grill Inc;CMG;2021- 30/09;1952.32;2021- 30/06;1892.54;2021- 31/03;1741.58;2020- 31/12;1607.71;13.4;-4.34;5.26;9.8;-;https://es.investing.com/equities/chipotle-mexican-grill-inc
Coupang LLC;CPNG;2021- 30/09;4644.7;2021- 30/06;4478.11;2021- 31/03;4206.86;2020- 30/06;2614.08;10.7;undefined;5.99;undefined;-;https://es.investing.com/equities/coupang-llc
Ferrari NV;RACE;2018- 30/09;838.18;2018- 30/06;905.65;2018- 31/03;831;2017- 31/12;839.93;18.26;12.63;9.32;3.47;Vender;https://es.investing.com/equities/ferrari-nv
Newmont Goldcorp Corp;NEM;2021- 30/09;2895;2021- 30/06;3065;2021- 31/03;2872;2020- 31/12;3381;4.07;10.15;3.96;3.84;-;https://es.investing.com/equities/newmont-mining
COSCO SHIPPING Holdings Co Ltd ADR;CICOY;2021- 30/06;139264.35;2020- 31/12;97205.9;2020- 30/06;74052.93;2019- 31/12;78778.1;30.83;33.64;1.04;1.69;-;https://es.investing.com/equities/cosco-shipping-adr
Cintas Corporation;CTAS;2021- 30/11;1922.28;2021- 31/08;1896.95;2021- 31/05;1835.66;2021- 28/02;1777.06;18.02;10.74;5.27;4.88;-;https://es.investing.com/equities/cintas-corp
Wipro Limited ADR;WIT;2021- 31/12;203136;2021- 30/09;196674;2021- 30/06;182524;2021- 31/03;162454;18.18;16.17;4;24.25;Comprar;https://es.investing.com/equities/wipro
Canadian Natural Resources Limited;CNQ;2021- 30/09;7711;2021- 30/06;6525;2021- 31/03;6608;2020- 31/12;5018;8.5;4.92;2.97;9.18;-;https://es.investing.com/equities/canadian-natural-resources?cid=20255
Align Technology Inc;ALGN;2021- 30/09;1015.91;2021- 30/06;1010.81;2021- 31/03;894.77;2020- 31/12;834.52;20.69;10.18;9.57;124.85;Comprar;https://es.investing.com/equities/align-technology
Microchip Technology Inc;MCHP;2021- 30/09;1649.8;2021- 30/06;1569.4;2021- 31/03;1467.1;2020- 31/12;1352.1;4.33;22.85;6.53;13.67;-;https://es.investing.com/equities/microchip-technology-inc
Carrier Global Corp;CARR;2021- 30/09;5341;2021- 30/06;5440;2021- 31/03;4699;2020- 31/12;4594;11.39;13.39;1.99;3.48;-;https://es.investing.com/equities/carrier-global-corp
Twilio Inc;TWLO;2021- 30/09;740.18;2021- 30/06;668.93;2021- 31/03;589.99;2020- 31/12;548.09;-8.93;15.48;12.37;24.64;-;https://es.investing.com/equities/twilio-inc-a
O’Reilly Automotive Inc;ORLY;2021- 30/09;3479.57;2021- 30/06;3465.6;2021- 31/03;3090.9;2020- 31/12;2828.77;32.27;24.74;3.32;3.74;-;https://es.investing.com/equities/oreilly-automotive
BCE Inc;BCE;2021- 30/09;5836;2021- 30/06;5698;2021- 31/03;5706;2020- 31/12;6102;5.34;6.56;2.55;3.51;-;https://es.investing.com/equities/bce?cid=21242
Crown Resorts Ltd ADR;CWLDY;2021- 30/06;955.8;2020- 31/12;581;2020- 30/06;705.7;2019- 31/12;1531.5;-4.16;2.85;5.36;6.26;-;https://es.investing.com/equities/crown-resorts-adr
Nu Holdings Ltd;NU;2021- 30/09;480.91;2021- 30/06;336.09;2021- 31/03;245.06;2020- 31/12;202.56;undefined;undefined;25.26;3.65;Vender;https://es.investing.com/equities/nu-holdings
Crowdstrike Holdings Inc;CRWD;2021- 31/10;380.05;2021- 31/07;337.69;2021- 30/04;302.84;2021- 31/01;264.93;-13.56;13.95;28.51;29.76;-;https://es.investing.com/equities/crowdstrike-holdings-inc
Enterprise Products Partners LP;EPD;2021- 30/09;10831.3;2021- 30/06;9450.1;2021- 31/03;9155.3;2020- 31/12;7044.2;7.43;5.2;1.45;10.12;Comprar;https://es.investing.com/equities/enterprise-products-partners-lp
American International Group Inc;AIG;2021- 30/09;12835;2021- 30/06;10681;2021- 31/03;14454;2020- 31/12;9676;8.96;undefined;0.98;1.79;-;https://es.investing.com/equities/american-intl-group
Agilent Technologies Inc;A;2021- 31/10;1660;2021- 31/07;1586;2021- 30/04;1525;2021- 31/01;1548;14.11;11.31;6.31;9.14;-;https://es.investing.com/equities/agilent-tech
Itochu Corp ADR;ITOCY;2021- 30/09;2957952;2021- 30/06;2916818;2021- 31/03;2771478;2020- 31/12;2673434;9.97;7.58;0.5;0.65;-;https://es.investing.com/equities/itochu-corp
Constellation Brands B;STZb;2021- 30/11;2320.6;2021- 31/08;2371.1;2021- 31/05;2026.5;2021- 28/02;1953;-0.06;10.59;5.09;4.6;-;https://es.investing.com/equities/constellation-brands-b
Constellation Brands Inc Class A;STZ;2021- 30/11;2320.6;2021- 31/08;2371.1;2021- 31/05;2026.5;2021- 28/02;1953;-0.06;10.52;5.09;4.76;-;https://es.investing.com/equities/constellation-a
Southern Copper Corporation;SCCO;2021- 30/09;2680.9;2021- 30/06;2897;2021- 31/03;2532.5;2020- 31/12;2350.7;20.11;10.15;4.73;3.84;-;https://es.investing.com/equities/southern-copper-corp.
Volvo AB ADR;VLVLY;2021- 30/09;85258;2021- 30/06;90561;2021- 31/03;94018;2020- 31/12;96918;11.39;15.64;1.19;6.22;-;https://es.investing.com/equities/volvo-adr
Paychex Inc;PAYX;2021- 30/11;1108.5;2021- 31/08;1082.9;2021- 31/05;1029.2;2021- 28/02;1111.7;29.4;16.17;9.29;24.25;-;https://es.investing.com/equities/paychex-inc
TC Energy Corp;TRP;2021- 30/09;3240;2021- 30/06;6563;2021- 31/03;3381;2020- 31/12;3297;2.4;4.92;4.85;9.18;-;https://es.investing.com/equities/transcanada-corp?cid=29627
Z Holdings Corp ADR;YAHOY;2021- 30/09;377610;2021- 30/06;373352;2021- 31/03;332031;2020- 31/12;316592;2.05;5.09;2.97;5.39;-;https://es.investing.com/equities/yahoo-japan-corp
SMC Corp;SMECF;2001- 31/03;45.07;2000- 31/12;42.71;2000- 30/09;49.52;2000- 30/06;45.42;-25.85;11.38;205.2;7.21;Vender;https://es.investing.com/equities/smc-corp?cid=53055
SMC Corp Japan;SMCAY;2001- 31/03;45.07;2000- 31/12;42.71;2000- 30/09;49.52;2000- 30/06;45.42;-25.85;11.37;205.2;6.39;Vender;https://es.investing.com/equities/smc-corp-japan
Ambev SA ADR;ABEV;2021- 30/06;15711.14;2021- 31/03;16639.76;2020- 31/12;18556.57;2020- 30/09;15604.5;16.12;16.12;3.63;3.8;-;https://es.investing.com/equities/ambev-prf-adr
Cognizant Technology Solutions Corp Class A;CTSH;2021- 30/09;4744;2021- 30/06;4585;2021- 31/03;4401;2020- 31/12;4184;12.75;16.17;2.4;24.25;-;https://es.investing.com/equities/cognizant-technology-solutio
American Electric Power Company Inc;AEP;2021- 30/09;4623;2021- 30/06;3826.5;2021- 31/03;4281.1;2020- 31/12;3610.6;3.07;2.65;2.76;4.34;-;https://es.investing.com/equities/american-electric
Kraft Heinz Co;KHC;2021- 25/09;6324;2021- 26/06;6615;2021- 27/03;6394;2020- 26/12;6939;2.53;-6.91;1.68;3.04;-;https://es.investing.com/equities/kraft-foods-inc
Spotify Technology SA;SPOT;2021- 30/09;2501;2021- 30/06;2331;2021- 31/03;2147;2020- 31/12;2168;-3.42;-0.63;3.19;18.4;-;https://es.investing.com/equities/spotify-technology
T. Rowe Price Group Inc;TROW;2021- 31/12;1961.7;2021- 30/09;1954.1;2021- 30/06;1929.3;2021- 31/03;1826.8;31.27;22.04;4.39;9.29;Comprar;https://es.investing.com/equities/t-rowe-price-gp
Walgreens Boots Alliance Inc;WBA;2021- 30/11;33901;2021- 31/08;34262;2021- 31/05;34030;2021- 28/02;32779;8.56;9.18;0.32;0.82;-;https://es.investing.com/equities/walgreen-co
Cloudflare Inc;NET;2021- 30/09;172.35;2021- 30/06;152.43;2021- 31/03;138.06;2020- 31/12;125.93;-13.03;16.17;43.9;24.25;Vender;https://es.investing.com/equities/cloudflare-inc
General Mills Inc;GIS;2021- 28/11;5024;2021- 29/08;4539.9;2021- 30/05;4523.6;2021- 28/02;4520;9.18;-6.91;2.22;3.04;-;https://es.investing.com/equities/general-mills
Schlumberger NV;SLB;2021- 30/09;5847;2021- 30/06;5634;2021- 31/03;5223;2020- 31/12;5532;6.18;-0.27;2.38;1.79;-;https://es.investing.com/equities/schlumberger-ltd
Vodafone Group PLC ADR;VOD;2021- 30/09;22489;2021- 31/03;22382;2020- 30/09;21427;2020- 31/03;23035;0.2;6.3;0.92;1.65;-;https://es.investing.com/equities/vodafone-group-plc-exch
Arista Networks;ANET;2021- 30/09;748.7;2021- 30/06;707.32;2021- 31/03;667.56;2020- 31/12;648.48;18.95;16.84;13.07;5.06;Vender;https://es.investing.com/equities/arista-networks
HP Inc;HPQ;2021- 31/10;16675;2021- 31/07;15289;2021- 30/04;15877;2021- 31/01;15646;72.36;40.45;0.6;22.39;-;https://es.investing.com/equities/hewlett-pack
Realty Income Corp;O;2021- 30/09;491.88;2021- 30/06;464.28;2021- 31/03;442.8;2020- 31/12;418.08;2.24;3.89;21.1;13.15;Vender;https://es.investing.com/equities/realty-income
Archer-Daniels-Midland Company;ADM;2021- 31/12;23090;2021- 30/09;20340;2021- 30/06;22926;2021- 31/03;18893;8.28;-6.91;0.49;3.04;-;https://es.investing.com/equities/archer-daniels-mid
Global Payments Inc;GPN;2021- 30/09;2202.34;2021- 30/06;2137.44;2021- 31/03;1990.01;2020- 31/12;1930.19;2.07;15.48;4.95;24.64;-;https://es.investing.com/equities/global-payments
Fastenal Company;FAST;2021- 31/12;1531.8;2021- 30/09;1554.2;2021- 30/06;1507.7;2021- 31/03;1417;26.55;11.96;5.25;2.32;Vender;https://es.investing.com/equities/fastenal-co
Kinder Morgan Inc;KMI;2021- 30/09;3824;2021- 30/06;3150;2021- 31/03;5211;2020- 31/12;3115;4.92;undefined;9.18;undefined;-;https://es.investing.com/equities/kinder-morgan
Biogen Inc;BIIB;2021- 30/09;2778.9;2021- 30/06;2775;2021- 31/03;2694;2020- 31/12;2852.6;10.28;13.92;2.9;449.93;-;https://es.investing.com/equities/biogen-idec-inc
Kroger Company;KR;2021- 06/11;31860;2021- 14/08;31682;2021- 22/05;41298;2021- 30/01;30737;3.09;9.18;0.25;0.82;-;https://es.investing.com/equities/kroger-co
American Water Works;AWK;2021- 30/09;1092;2021- 30/06;999;2021- 31/03;888;2020- 31/12;923;3.34;2.96;7.26;7.32;-;https://es.investing.com/equities/american-water-works-inc
West Pharmaceutical Services Inc;WST;2021- 30/09;706.5;2021- 30/06;723.6;2021- 31/03;670.7;2020- 31/12;580.2;24.89;11.31;10.61;9.14;-;https://es.investing.com/equities/west-pharmaceutical-services-inc
Brown Forman Corp A;BFa;2021- 31/10;994;2021- 31/07;906;2021- 30/04;812;2021- 31/01;911;13.74;10.52;8.52;4.76;Vender;https://es.investing.com/equities/brown-forman-corp-a
ArcelorMittal SA ADR;MT;2021- 30/09;20229;2021- 30/06;19343;2021- 31/03;16193;2020- 31/12;14184;21.47;10.15;0.41;3.84;Comprar;https://es.investing.com/equities/arcelormittal-nyse-exch
Consolidated Edison Inc;ED;2021- 30/09;3613;2021- 30/06;2971;2021- 31/03;3677;2020- 31/12;2960;1.93;2.84;2.21;2.62;-;https://es.investing.com/equities/cocnsol-edison
Affirm Holdings Inc;AFRM;2021- 30/09;238.41;2021- 30/06;219.2;2021- 31/03;214.31;2020- 31/12;347.02;-21.04;16.17;16.64;24.25;-;https://es.investing.com/equities/affirm-holdings
Hormel Foods Corporation;HRL;2021- 31/10;3454.75;2021- 25/07;2863.67;2021- 25/04;2606.62;2021- 24/01;2461.15;9.24;-7.57;2.23;3.19;-;https://es.investing.com/equities/hormel-foods-corp
Seagate Technology PLC;STX;2021- 01/10;3115;2021- 02/07;3013;2021- 02/04;2731;2021- 01/01;2623;28.84;40.45;1.93;22.39;-;https://es.investing.com/equities/seagate-technology
Imperial Oil Ltd;IMO;2021- 30/09;10214;2021- 30/06;8007;2021- 31/03;6992;2020- 31/12;6017;1.47;4.92;1.17;9.18;-;https://es.investing.com/equities/imperial-oil-ltd
Hess Corporation;HES;2021- 31/12;2237;2021- 30/09;1759;2021- 30/06;1579;2021- 31/03;1898;5.4;5.2;3.72;10.12;-;https://es.investing.com/equities/hess-corp
Paycom Soft;PAYC;2021- 30/09;256.19;2021- 30/06;242.15;2021- 31/03;272.2;2020- 31/12;220.95;17.26;13.48;18.22;30.35;-;https://es.investing.com/equities/paycom-soft
ICON PLC;ICLR;2021- 30/09;1866.35;2021- 30/06;871.15;2021- 31/03;858.2;2020- 31/12;760.23;2.09;11.31;4.8;9.14;-;https://es.investing.com/equities/icon-plc
STERIS plc;STE;2021- 30/09;1196.98;2021- 30/06;968.42;2021- 31/03;873.53;2020- 31/12;808.92;3.13;10.18;5.59;124.85;-;https://es.investing.com/equities/steris-corp
Legal & General Group Plc;LGGNY;2021- 30/06;14490;2020- 31/12;32417;2020- 30/06;17048;2019- 31/12;17956;-0.62;undefined;0.37;1.1;-;https://es.investing.com/equities/legal---general-group-plc
Essex Property Trust Inc;ESS;2021- 30/09;362.86;2021- 30/06;350.98;2021- 31/03;355.12;2020- 31/12;362.07;3.81;3.89;14.59;13.15;-;https://es.investing.com/equities/essex-property-trust-inc
Kyocera Corporation ADR;KYOCY;2021- 30/09;455625;2021- 30/06;420712;2021- 31/03;426363;2020- 31/12;404497;4.53;9.78;1.51;7.8;-;https://es.investing.com/equities/kyocera
