Informe Completo;;;;;;;;;;;;;;;
Tipo : Acciones;;;;;;;;;;;;;;;
Pais: EEUU;;;;;;;;;;;;;;;
Fecha de creación : 28/1/2022;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Nombre;Ref.;Ingresos Totales;;;;;;;;Rentabilidad sobre fondos propios TTM;;Precio/Venta TTM;;Recomendación;URL
;;fecha;monto;fecha;monto;fecha;monto;fecha;monto;Empresa;Industria;Empresa;Industria;;
Walmart Inc;WMT;2021- 31/10;140525;2021- 31/07;141048;2021- 30/04;138310;2021- 31/01;152079;5.43;9.18;0.66;0.82;-;https://es.investing.com/equities/wal-mart-stores
Procter & Gamble Company;PG;2021- 31/12;20953;2021- 30/09;20338;2021- 30/06;18946;2021- 31/03;18109;16.98;16.93;4.87;4.31;-;https://es.investing.com/equities/procter-gamble
Nestle SA ADR;NSRGY;2021- 30/06;41755;2020- 31/12;43191;2020- 30/06;41152;2019- 31/12;47112;12.48;11.46;3.92;4.34;-;https://es.investing.com/equities/nestle-sa-pk
Roche Holding Ltd ADR;RHHBY;2021- 30/06;30713;2020- 31/12;29042;2020- 30/06;29281;2019- 31/12;30997;26.07;14.81;5.13;7.06;-;https://es.investing.com/equities/roche-holding-ltd
Mastercard Inc;MA;2021- 31/12;5216;2021- 30/09;4985;2021- 30/06;4528;2021- 31/03;4155;37.75;16.17;18.24;24.25;-;https://es.investing.com/equities/mastercard-cl-a
Pfizer Inc;PFE;2021- 03/10;24094;2021- 04/07;18977;2021- 04/04;14582;2020- 31/12;11684;13.46;12.42;4.32;7.9;-;https://es.investing.com/equities/pfizer
Alibaba Group Holdings Ltd ADR;BABA;2021- 30/09;200690;2021- 30/06;205740;2021- 31/03;187395;2020- 31/12;221084;9.08;10.7;2.36;5.99;-;https://es.investing.com/equities/alibaba
ASML Holding NV ADR;ASML;2021- 31/12;4985.6;2021- 03/10;5241.3;2021- 04/07;4020.2;2021- 04/04;4363.9;29.45;23.26;12.83;14.6;-;https://es.investing.com/equities/asml-holdings
Oracle Corporation;ORCL;2021- 30/11;10360;2021- 31/08;9728;2021- 31/05;11227;2021- 28/02;10085;11.69;13.95;5.27;29.76;-;https://es.investing.com/equities/oracle-corp
Walt Disney Company;DIS;2021- 02/10;18534;2021- 03/07;17022;2021- 03/04;15613;2021- 02/01;16249;1.59;-1.31;3.66;19.32;-;https://es.investing.com/equities/disney
